Job Title,Company Name,Job Location,Job Type,Experience Required,Posted Date,Application Deadline,Job Portal,Number of Applicants,Education Requirement,Skills Required,Remote/Onsite
Data Scientist,Accenture,Delhi,Internship,0-2 years,1/12/2025,1/21/2025,Indeed,30,B.Tech,React,Hybrid
Data Scientist,Infosys,Delhi,Part-time,0-2 years,1/12/2025,1/19/2025,LinkedIn,388,MBA,UI/UX,Remote
Machine Learning Engineer,Infosys,Bangalore,Contract,10+ years,1/5/2025,1/27/2025,Indeed,221,PhD,Python,Onsite
Data Engineer,Deloitte,Pune,Part-time,10+ years,12/24/2024,1/13/2025,Indeed,62,B.Tech,UI/UX,Hybrid
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",Microsoft,Bangalore,Internship,,1/9/2025,1/25/2025,Naukri.com,318,PhD,Python,Remote
Data Engineer,Accenture,Kolkata,Contract,,1/21/2025,2/4/2025,Naukri.com,392,B.Tech,SQL,Hybrid
Data Science Instructor,Amazon,Jaipur,Contract,,1/11/2025,2/3/2025,LinkedIn,,PhD,React,Remote
Senior Business Intelligence Analyst,TCS,Jaipur,Part-time,0-2 years,1/18/2025,2/5/2025,Indeed,62,B.Sc,SQL,Onsite
In-Line Inspection Data Analyst,Microsoft,Mumbai,Full-time,10+ years,1/15/2025,2/12/2025,Naukri.com,389,MBA,Java,Hybrid
Data Scientist - TS/SCI FSP or CI Required,Amazon,Mumbai,Part-time,2-5 years,1/5/2025,1/27/2025,LinkedIn,251,PhD,Python,Remote
Data Scientist,HCL,Ahmedabad,Full-time,0-2 years,1/17/2025,2/4/2025,Indeed,454,B.Tech,C++,Hybrid
Senior Data Scientist,HCL,Noida,Contract,10+ years,12/23/2024,1/14/2025,Naukri.com,255,MBA,AWS,Hybrid
Data Scientist - TS/SCI Required,IBM,Mumbai,Contract,5-10 years,12/28/2024,1/20/2025,Naukri.com,148,PhD,Machine Learning,Hybrid
Data Science Software Engineer,Wipro,Ahmedabad,Part-time,10+ years,1/15/2025,1/23/2025,Indeed,364,PhD,Java,Hybrid
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,TCS,Hyderabad,Full-time,0-2 years,1/13/2025,2/12/2025,Naukri.com,96,B.Tech,C++,Hybrid
AI Ops Data Scientist,Accenture,Bangalore,Full-time,0-2 years,1/17/2025,2/16/2025,Naukri.com,430,B.Sc,AWS,Remote
"Intelligence Data Analyst, Senior",Wipro,Kolkata,Part-time,10+ years,12/27/2024,1/23/2025,LinkedIn,474,B.Tech,C++,Hybrid
Analytics Manager - Data Mart,Microsoft,Ahmedabad,Part-time,0-2 years,1/8/2025,2/4/2025,Naukri.com,333,MBA,Excel,Onsite
Data Modeler (Analytical Systems),TCS,Kolkata,Internship,0-2 years,12/26/2024,1/8/2025,Naukri.com,387,PhD,Java,Onsite
"Senior Machine Learning Scientist - Bay Area, CA",HCL,Jaipur,Contract,10+ years,1/5/2025,2/4/2025,Indeed,50,PhD,Machine Learning,Hybrid
Report Writer-Data Analyst,HCL,Ahmedabad,Full-time,0-2 years,1/22/2025,,Indeed,461,PhD,SQL,Remote
Data Scientist/Machine Learning,HCL,Mumbai,Internship,None,12/25/2024,,LinkedIn,128,M.Tech,UI/UX,Hybrid
Data Scientist - Risk,IBM,Noida,Full-time,0-2 years,1/11/2025,1/19/2025,LinkedIn,13,M.Tech,Machine Learning,Remote
Data Engineer,Google,Kolkata,Part-time,2-5 years,1/15/2025,1/30/2025,Naukri.com,200,M.Tech,Excel,Remote
Staff Data Scientist - Pricing,Amazon,Delhi,Contract,2-5 years,1/3/2025,1/27/2025,Naukri.com,397,B.Sc,Excel,Onsite
Data Scientist,Google,Kolkata,Part-time,2-5 years,1/11/2025,2/7/2025,Indeed,432,PhD,Excel,Hybrid
Data Scientist,Wipro,Kolkata,Internship,0-2 years,1/7/2025,1/28/2025,LinkedIn,497,M.Tech,Excel,Remote
Data Scientist,Amazon,Ahmedabad,Full-time,2-5 years,1/5/2025,1/16/2025,LinkedIn,162,MBA,UI/UX,Remote
Machine Learning Engineer,Microsoft,Kolkata,Full-time,5-10 years,1/18/2025,2/5/2025,Naukri.com,225,B.Tech,UI/UX,Onsite
Equity Data Insights Analyst - Quantitative Analyst,Infosys,Kolkata,Full-time,0-2 years,1/8/2025,1/15/2025,Naukri.com,71,M.Tech,Python,Remote
Data Scientist,HCL,Delhi,Contract,2-5 years,1/15/2025,2/12/2025,Indeed,73,B.Sc,SQL,Hybrid
Research Scientist - Patient-Centered Research (Remote),Infosys,Noida,Full-time,0-2 years,12/26/2024,1/17/2025,Naukri.com,431,MBA,AWS,Hybrid
Data Scientist,Microsoft,Kolkata,Internship,5-10 years,1/2/2025,1/14/2025,Indeed,38,B.Sc,C++,Remote
Operations Data Analyst,HCL,Delhi,Contract,2-5 years,1/11/2025,1/19/2025,Naukri.com,10,MBA,Machine Learning,Onsite
Sr. Data Scientist II,HCL,Chennai,Contract,10+ years,1/6/2025,2/4/2025,Indeed,371,M.Tech,Python,Hybrid
Data Scientist,Microsoft,Ahmedabad,Internship,5-10 years,12/24/2024,,Naukri.com,458,B.Tech,React,Remote
Data Scientist,Wipro,Ahmedabad,Part-time,2-5 years,1/17/2025,2/5/2025,Indeed,471,B.Sc,Digital Marketing,Onsite
Data Scientist,Accenture,Kolkata,Part-time,10+ years,1/11/2025,1/29/2025,LinkedIn,160,B.Sc,Excel,Hybrid
Senior Data Analyst,Amazon,Delhi,Full-time,10+ years,1/13/2025,2/12/2025,Naukri.com,410,MBA,Machine Learning,Onsite
Data Scientist,Deloitte,Ahmedabad,Part-time,2-5 years,1/12/2025,2/10/2025,Naukri.com,200,M.Tech,Java,Hybrid
Data Scientist,Infosys,Kolkata,Part-time,0-2 years,1/8/2025,2/7/2025,LinkedIn,411,B.Tech,AWS,Onsite
Senior Research Statistician- Data Scientist,Infosys,Bangalore,Full-time,10+ years,1/21/2025,2/14/2025,Indeed,442,PhD,AWS,Hybrid
Software Data Engineer,Microsoft,Mumbai,Internship,10+ years,12/30/2024,1/10/2025,LinkedIn,197,M.Tech,Excel,Remote
Data Scientist,Wipro,Jaipur,Full-time,5-10 years,1/12/2025,1/26/2025,LinkedIn,438,B.Tech,Excel,Onsite
Real World Evidence (RWE) Scientist,TCS,Chennai,Contract,0-2 years,12/27/2024,1/9/2025,Indeed,285,M.Tech,AWS,Onsite
Data Scientist,Microsoft,Delhi,Internship,2-5 years,12/29/2024,1/15/2025,Indeed,481,M.Tech,SQL,Remote
Data Scientist,IBM,Jaipur,Part-time,2-5 years,12/26/2024,1/14/2025,Naukri.com,451,M.Tech,C++,Remote
Data Scientist,HCL,Kolkata,Contract,0-2 years,12/29/2024,1/7/2025,LinkedIn,241,PhD,Python,Onsite
Data Scientist,TCS,Bangalore,Internship,10+ years,1/22/2025,2/12/2025,LinkedIn,224,MBA,React,Remote
Computer Scientist 1,IBM,Bangalore,Full-time,2-5 years,1/13/2025,2/11/2025,LinkedIn,450,MBA,Java,Onsite
Lead Data Scientist,Wipro,Noida,Part-time,10+ years,12/27/2024,1/26/2025,LinkedIn,367,M.Tech,AWS,Onsite
Data Scientist,Deloitte,Delhi,Internship,2-5 years,1/17/2025,1/25/2025,LinkedIn,430,B.Sc,Digital Marketing,Onsite
Data Scientist,Deloitte,Pune,Contract,5-10 years,1/11/2025,1/18/2025,Naukri.com,157,MBA,Python,Remote
Data Scientist,Accenture,Delhi,Part-time,5-10 years,12/24/2024,1/5/2025,Indeed,270,B.Tech,Java,Remote
Data Scientist,Deloitte,Noida,Full-time,5-10 years,1/22/2025,2/2/2025,LinkedIn,471,MBA,SQL,Onsite
Data Scientist,TCS,Mumbai,Full-time,2-5 years,1/6/2025,1/22/2025,Naukri.com,312,PhD,Digital Marketing,Remote
Environmental Data Science,Wipro,Bangalore,Part-time,5-10 years,1/12/2025,1/29/2025,Indeed,64,M.Tech,Excel,Hybrid
Computational Behavioral Scientist,Google,Hyderabad,Internship,2-5 years,12/31/2024,1/19/2025,Indeed,232,MBA,Python,Remote
Data Scientist,Microsoft,Hyderabad,Contract,10+ years,1/2/2025,1/30/2025,Indeed,125,B.Sc,UI/UX,Remote
Staff BI and Data Engineer,Amazon,Pune,Internship,,12/25/2024,1/14/2025,LinkedIn,329,MBA,Python,Remote
Principal Machine Learning Scientist,Google,Ahmedabad,Part-time,10+ years,1/19/2025,2/12/2025,Indeed,451,B.Sc,C++,Remote
Principal Data Scientist - Machine Learning,IBM,Noida,Contract,5-10 years,1/16/2025,2/7/2025,Naukri.com,203,B.Tech,UI/UX,Onsite
Data Scientist-Human Resources,IBM,Ahmedabad,Internship,2-5 years,1/22/2025,1/30/2025,Naukri.com,87,MBA,AWS,Hybrid
Associate Data Scientist,Deloitte,Delhi,Contract,0-2 years,1/15/2025,2/6/2025,Naukri.com,139,MBA,React,Hybrid
"Data Scientist - Statistics, Mid-Career",Microsoft,Pune,Part-time,5-10 years,1/8/2025,1/26/2025,Naukri.com,495,PhD,Python,Onsite
Director of Data Science,TCS,Kolkata,Contract,2-5 years,1/17/2025,2/11/2025,LinkedIn,430,B.Tech,AWS,Hybrid
Data Scientist,TCS,Pune,Contract,5-10 years,1/11/2025,1/31/2025,Naukri.com,384,PhD,React,Remote
Data Scientist,Amazon,Kolkata,Contract,0-2 years,12/26/2024,1/7/2025,Naukri.com,397,PhD,SQL,Onsite
Data Scientist,Google,Delhi,Part-time,2-5 years,12/27/2024,1/11/2025,Indeed,184,PhD,Excel,Hybrid
"Data Engineer, Digital & Comp Pathology",Infosys,Mumbai,Contract,10+ years,1/22/2025,2/3/2025,LinkedIn,216,B.Tech,Machine Learning,Remote
Data Engineer,IBM,Chennai,Part-time,2-5 years,1/12/2025,1/21/2025,LinkedIn,89,B.Tech,Python,Remote
"Manager / Lead, Data Science & Analytics",HCL,Bangalore,Internship,10+ years,12/28/2024,1/8/2025,LinkedIn,34,M.Tech,UI/UX,Remote
Data Scientist,Google,Mumbai,Internship,10+ years,1/7/2025,1/19/2025,LinkedIn,37,M.Tech,SQL,Onsite
Data Scientist,Wipro,Pune,Full-time,2-5 years,12/30/2024,1/20/2025,LinkedIn,135,B.Sc,UI/UX,Remote
Data Scientist,Wipro,Noida,Full-time,,1/6/2025,2/3/2025,Indeed,344,M.Tech,Python,Onsite
Data Scientist,Amazon,Kolkata,Internship,,1/10/2025,1/29/2025,LinkedIn,56,B.Tech,C++,Hybrid
Diversity and Inclusion Data Analyst,Infosys,Jaipur,Contract,5-10 years,1/5/2025,1/28/2025,Naukri.com,460,M.Tech,Excel,Hybrid
Data Scientist,Microsoft,Ahmedabad,Full-time,0-2 years,1/15/2025,2/10/2025,Indeed,28,PhD,SQL,Remote
Data Scientist,Google,Hyderabad,Full-time,0-2 years,1/14/2025,2/11/2025,Naukri.com,139,PhD,Machine Learning,Remote
Data Scientist,Google,Mumbai,Internship,10+ years,1/9/2025,2/8/2025,LinkedIn,251,MBA,Digital Marketing,Hybrid
Data Scientist,Wipro,Chennai,Full-time,0-2 years,1/15/2025,1/31/2025,LinkedIn,390,MBA,React,Onsite
Data Scientist,Deloitte,Hyderabad,Part-time,0-2 years,12/30/2024,1/21/2025,Indeed,346,M.Tech,Excel,Onsite
Data Scientist,Deloitte,Mumbai,Part-time,5-10 years,1/13/2025,1/30/2025,Indeed,338,B.Tech,UI/UX,Hybrid
Senior Analyst/Data Scientist,Amazon,Delhi,Contract,2-5 years,1/6/2025,2/3/2025,LinkedIn,402,B.Tech,Digital Marketing,Hybrid
Data Scientist,IBM,Hyderabad,Internship,5-10 years,1/4/2025,2/3/2025,Naukri.com,167,MBA,C+,Remote
Data Scientist,Infosys,Bangalore,Internship,0-2 years,1/11/2025,1/20/2025,LinkedIn,115,B.Tech,Java,Onsite
Senior Data Scientist - R&D Oncology,Wipro,Kolkata,Contract,0-2 years,1/19/2025,2/7/2025,Naukri.com,422,MBA,Python,Remote
Data Scientist,HCL,Chennai,Part-time,2-5 years,1/20/2025,2/16/2025,Indeed,132,B.Sc,AWS,Hybrid
Data Scientist,Microsoft,Mumbai,Part-time,0-2 years,1/15/2025,2/11/2025,Indeed,108,B.Tech,Python,Onsite
Data Scientist,Google,Chennai,Full-time,0-2 years,12/24/2024,1/17/2025,Indeed,345,PhD,Digital Marketing,Onsite
Data Scientist,Accenture,Chennai,Part-time,10+ years,1/15/2025,1/30/2025,Indeed,385,PhD,AWS,Hybrid
Data Scientist,HCL,Noida,Full-time,0-2 years,1/17/2025,2/2/2025,Indeed,398,B.Tech,React,Remote
Data Scientist Machine Learning,Infosys,Kolkata,Internship,0-2 years,1/21/2025,2/20/2025,Naukricom,259,MBA,Java,Hybrid
Data Scientist,Deloitte,Ahmedabad,Part-time,5-10 years,1/12/2025,2/7/2025,Indeed,487,B.Tech,Machine Learning,Remote
Data Scientist,Amazon,Hyderabad,Part-time,10+ years,1/10/2025,1/24/2025,Naukri.com,425,PhD,C++,Remote
Data Scientist,Infosys,Hyderabad,Part-time,5-10 years,12/28/2024,1/20/2025,Naukri.com,89,MBA,Python,Remote
Data Scientist,Infosys,Hyderabad,Contract,2-5 years,12/31/2024,1/12/2025,LinkedIn,258,M.Tech,Python,Onsite
Data Analyst,Wipro,Jaipur,Contract,2-5 years,12/30/2024,1/22/2025,Naukri.com,62,B.Sc,UI/UX,Onsite
Data Scientist,Deloitte,Noida,Full-time,2-5 years,12/29/2024,1/15/2025,Indeed,358,MBA,Machine Learning,Remote
Data Scientist,Infosys,Mumbai,Full-time,5-10 years,1/16/2025,2/2/2025,Naukri.com,328,B.Tech,Java,Hybrid
Data Scientist,Deloitte,Ahmedabad,Full-time,10+ years,1/15/2025,1/31/2025,LinkedIn,390,M.Tech,UI/UX,Remote
Data Scientist,Accenture,Bangalore,Part-time,0-2 years,1/13/2025,1/26/2025,Indeed,101,MBA,React,Onsite
Data Scientist,Accenture,Ahmedabad,Contract,5-10 years,1/4/2025,2/2/2025,Naukri.com,100,B.Tech,C++,Remote
Data Scientist,TCS,Chennai,Full-time,,1/4/2025,1/12/2025,Indeed,187,B.Sc,Excel,Onsite
Data Scientist,Wipro,Bangalore,Full-time,5-10 years,1/20/2025,2/17/2025,Indeed,455,B.Tech,UI/UX,Hybrid
Chief Scientist,IBM,Noida,Full-time,10+ years,1/4/2025,1/12/2025,Naukri.com,354,B.Sc,Python,Remote
Data Scientist,Microsoft,Jaipur,Contract,0-2 years,1/22/2025,2/2/2025,LinkedIn,272,MBA,C++,Hybrid
Data Scientist,Accenture,Ahmedabad,Full-time,0-2 years,1/17/2025,1/26/2025,LinkedIn,313,B.Tech,Digital Marketing,Hybrid
Data Scientist,IBM,Chennai,Full-time,0-2 years,1/2/2025,1/11/2025,Naukri.com,423,M.Tech,Python,Hybrid
Data Scientist,Amazon,Hyderabad,Internship,5-10 years,12/31/2024,1/26/2025,Naukri.com,129,MBA,UI/UX,Hybrid
Data Scientist,Accenture,Pune,Contract,2-5 years,1/7/2025,2/5/2025,Naukri.com,45,B.Tech,C++,Onsite
"Health Plan Data Analyst, Sr",TCS,Chennai,Contract,5-10 years,1/5/2025,1/12/2025,Naukri.com,331,MBA,SQL,Hybrid
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",Accenture,Pune,Contract,2-5 years,1/21/2025,1/30/2025,LinkedIn,220,B.Sc,Digital Marketing,Onsite
Data Scientist,Amazon,Kolkata,Internship,0-2 years,1/10/2025,1/22/2025,Naukri.com,280,MBA,React,Hybrid
Senior Data Scientist,Wipro,Chennai,Contract,5-10 years,1/12/2025,2/6/2025,Indeed,183,M.Tech,Excel,Onsite
Data Scientist,HCL,Hyderabad,Contract,2-5 years,1/4/2025,1/27/2025,Naukri.com,401,M.Tech,SQL,Hybrid
Data Scientist,Amazon,Delhi,Part-time,10+ years,12/26/2024,1/24/2025,Indeed,112,B.Sc,AWS,Remote
Data Scientist,TCS,Bangalore,Contract,2-5 years,12/28/2024,1/4/2025,LinkedIn,200,PhD,SQL,Onsite
Analytics - Business Assurance Data Analyst,Microsoft,Bangalore,Internship,5-10 years,1/14/2025,1/25/2025,Indeed,15,MBA,C++,Remote
Data Scientist,Infosys,Kolkata,Internship,2-5 years,1/16/2025,2/9/2025,Naukri.com,94,PhD,Digital Marketing,Hybrid
Data Scientist,Deloitte,Mumbai,Contract,10+ years,12/25/2024,1/18/2025,Indeed,215,PhD,React,Onsite
"Development Scientist, Voltaren",Wipro,Chennai,Full-time,0-2 years,1/9/2025,1/17/2025,Naukri.com,229,B.Sc,Machine Learning,Hybrid
Data Scientist,Microsoft,Kolkata,Full-time,10+ years,1/2/2025,1/24/2025,Naukri.com,188,PhD,React,Hybrid
Data Scientist,HCL,Pune,Full-time,5-10 years,12/29/2024,1/7/2025,Indeed,433,B.Tech,AWS,Hybrid
Data Scientist,Google,Ahmedabad,Internship,2-5 years,1/1/2025,1/22/2025,Indeed,282,M.Tech,Excel,Remote
Data Engineer,Wipro,Delhi,Full-time,10+ years,1/5/2025,2/4/2025,LinkedIn,270,M.Tech,Machine Learning,Remote
Data Scientist,HCL,Noida,Internship,2-5 years,1/12/2025,1/23/2025,Naukri.com,320,M.Tech,Excel,Remote
Data Scientist,Deloitte,Bangalore,Part-time,0-2 years,12/25/2024,1/5/2025,LinkedIn,220,PhD,Machine Learning,Remote
Data Scientist,HCL,Noida,Internship,0-2 years,1/20/2025,2/8/2025,Naukri.com,47,B.Tech,Excel,Remote
Data Scientist,IBM,Kolkata,Internship,5-10 years,1/17/2025,2/16/2025,Naukri.com,126,B.Tech,Java,Remote
Machine Learning Engineer,Microsoft,Bangalore,Internship,5-10 years,1/7/2025,1/17/2025,LinkedIn,269,MBA,C++,Remote
Principal Data & Analytics Platform Engineer,TCS,Delhi,Contract,10+ years,1/10/2025,1/25/2025,Naukri.com,455,PhD,Digital Marketing,Remote
Machine Learning Engineer/Scientist,Wipro,Mumbai,Contract,0-2 years,1/12/2025,1/31/2025,LinkedIn,290,B.Tech,AWS,Onsite
Data Scientist,Deloitte,Ahmedabad,Full-time,2-5 years,12/29/2024,1/9/2025,Naukri.com,241,M.Tech,Python,Remote
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",Deloitte,Delhi,Part-time,0-2 years,1/16/2025,2/10/2025,LinkedIn,271,B.Tech,Digital Marketing,Remote
Data Scientist,HCL,Mumbai,Internship,0-2 years,12/23/2024,1/17/2025,Indeed,479,PhD,Python,Hybrid
Data Scientist,HCL,Mumbai,Part-time,2-5 years,1/2/2025,1/19/2025,Naukri.com,347,PhD,Python,Onsite
Data Scientist,Wipro,Kolkata,Internship,2-5 years,1/9/2025,1/21/2025,Indeed,306,B.Sc,Digital Marketing,Hybrid
Data Scientist,HCL,Bangalore,Part-time,2-5 years,1/9/2025,1/31/2025,Indeed,229,PhD,React,Hybrid
Machine Learning Engineer,TCS,Chennai,Internship,0-2 years,1/8/2025,1/27/2025,Indeed,76,MBA,UI/UX,Remote
Data Analyst - Unilever Prestige,Amazon,Bangalore,Full-time,10+ years,1/17/2025,2/3/2025,Indeed,36,PhD,React,Remote
Data Scientist,Microsoft,Hyderabad,Internship,0-2 years,1/6/2025,1/28/2025,Indeed,395,M.Tech,React,Onsite
"VP, Data Science",HCL,Ahmedabad,Internship,0-2 years,1/18/2025,2/1/2025,Naukri.com,314,B.Tech,Digital Marketing,Hybrid
Data Scientist,Accenture,Pune,Contract,5-10 years,1/17/2025,1/31/2025,Naukri.com,112,B.Tech,C++,Hybrid
Data Scientist,Wipro,Mumbai,Contract,0-2 years,1/9/2025,1/28/2025,LinkedIn,425,B.Sc,React,Onsite
Senior Business Intelligence Analyst,Microsoft,Chennai,Internship,10+ years,1/5/2025,1/22/2025,Naukri.com,275,PhD,SQL,Hybrid
Data Scientist,TCS,Chennai,Internship,2-5 years,12/31/2024,1/12/2025,Indeed,294,MBA,UI/UX,Onsite
Data Engineer - Kafka,Deloitte,Delhi,Part-time,,1/10/2025,2/1/2025,Naukri.com,,PhD,AWS,Onsite
Data Scientist,TCS,Pune,Part-time,5-10 years,1/1/2025,1/13/2025,Naukri.com,340,MBA,Digital Marketing,Hybrid
Data Scientist,Accenture,Noida,Full-time,10+ years,1/18/2025,1/27/2025,Naukri.com,85,B.Sc,Python,Onsite
Data Scientist,HCL,Noida,Contract,5-10 years,1/17/2025,2/2/2025,Indeed,148,B.Sc,Machine Learning,Hybrid
Data Scientist,Accenture,Mumbai,Full-time,0-2 years,1/12/2025,2/11/2025,Indeed,399,M.Tech,UI/UX,Onsite
Decision Scientist,Accenture,Chennai,Part-time,10+ years,1/7/2025,1/26/2025,LinkedIn,197,B.Sc,React,Onsite
Data Scientist,IBM,Hyderabad,Full-time,5-10 years,12/26/2024,1/22/2025,Naukri.com,24,B.Sc,Digital Marketing,Remote
Data Science All Star Program - Data Engineer Track,Microsoft,Chennai,Contract,0-2 years,12/26/2024,1/11/2025,Naukri.com,282,B.Sc,React,Onsite
Data Scientist - TS/SCI FSP or CI Required,TCS,Mumbai,Contract,2-5 years,12/29/2024,1/15/2025,LinkedIn,212,MBA,C++,Remote
Data Analyst,Google,Ahmedabad,Full-time,10+ years,1/4/2025,1/29/2025,LinkedIn,234,B.Tech,UI/UX,Remote
Data Scientist,Amazon,Noida,Contract,10+ years,1/20/2025,2/14/2025,Naukri.com,247,PhD,Excel,Hybrid
Data Scientist,Amazon,Noida,Contract,10+ years,1/18/2025,2/17/2025,Indeed,267,B.Sc,Machine Learning,Remote
Data Scientist,Deloitte,Hyderabad,Contract,0-2 years,1/20/2025,2/6/2025,LinkedIn,162,B.Tech,UI/UX,Hybrid
Data Scientist,TCS,Hyderabad,Part-time,2-5 years,1/9/2025,1/28/2025,LinkedIn,401,M.Tech,C++,Remote
Data Scientist,IBM,Pune,Full-time,0-2 years,1/1/2025,1/9/2025,Indeed,394,PhD,UI/UX,Remote
Data Scientist,Google,Ahmedabad,Full-time,0-2 years,1/4/2025,1/15/2025,LinkedIn,273,B.Sc,React,Remote
Senior Data Scientist,Wipro,Ahmedabad,Internship,10+ years,1/21/2025,2/12/2025,Naukri.com,201,B.Tech,Excel,Remote
Data Scientist,Google,Delhi,Internship,0-2 years,1/6/2025,2/4/2025,LinkedIn,19,M.Tech,SQL,Hybrid
Data Scientist,Infosys,Noida,Full-time,0-2 years,1/10/2025,2/8/2025,Naukri.com,468,PhD,AWS,Remote
Data Scientist,HCL,Hyderabad,Part-time,5-10 years,1/20/2025,2/15/2025,LinkedIn,65,B.Tech,Digital Marketing,Remote
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,Google,Bangalore,Internship,10+ years,1/16/2025,1/27/2025,Naukri.com,127,MBA,UI/UX,Hybrid
Data Scientist,TCS,Ahmedabad,Contract,2-5 years,12/27/2024,1/15/2025,LinkedIn,35,MBA,Excel,Onsite
Data Science Software Engineer,Google,Jaipur,Internship,5-10 years,1/8/2025,2/6/2025,LinkedIn,423,B.Tech,AWS,Hybrid
AI Ops Data Scientist,TCS,Mumbai,Contract,0-2 years,12/26/2024,1/10/2025,Naukri.com,408,B.Tech,React,Onsite
Data Scientist,IBM,Ahmedabad,Full-time,5-10 years,1/21/2025,2/11/2025,LinkedIn,56,B.Sc,AWS,Remote
Data Scientist,Google,Pune,Contract,5-10 years,1/14/2025,2/2/2025,LinkedIn,426,B.Tech,SQL,Onsite
Data Scientist,TCS,Kolkata,Full-time,5-10 years,1/21/2025,2/4/2025,LinkedIn,487,MBA,UI/UX,Onsite
Scientist - Machine Learning,Amazon,Pune,Full-time,5-10 years,12/30/2024,1/22/2025,LinkedIn,356,MBA,Java,Remote
Data Scientist,TCS,Pune,Part-time,2-5 years,12/24/2024,1/21/2025,Indeed,242,MBA,React,Hybrid
Data Scientist,HCL,Jaipur,Contract,5-10 years,1/3/2025,1/14/2025,LinkedIn,229,PhD,Excel,Hybrid
Sr. Data Scientist,Wipro,Mumbai,Part-time,5-10 years,1/4/2025,1/31/2025,Naukri.com,399,M.Tech,UI/UX,Remote
Data Scientist,Amazon,Hyderabad,Part-time,10+ years,1/11/2025,2/2/2025,Naukri.com,83,M.Tech,React,Hybrid
Data Scientist,Wipro,Bangalore,Full-time,2-5 years,1/3/2025,1/11/2025,LinkedIn,450,MBA,React,Remote
Analytics Manager - Data Mart,Amazon,Pune,Part-time,2-5 years,12/30/2024,1/16/2025,Indeed,139,B.Sc,UI/UX,Onsite
Data Modeler (Analytical Systems),IBM,Chennai,Internship,2-5 years,1/22/2025,2/7/2025,Naukri.com,299,B.Sc,SQL,Remote
Applied AI Scientist / Engineer,Amazon,Delhi,Full-time,2-5 years,1/11/2025,2/8/2025,Indeed,369,M.Tech,Machine Learning,Remote
"Data Engineer (Analytics, SQL, Python, AWS)",Wipro,Bangalore,Internship,0-2 years,12/25/2024,1/12/2025,Indeed,100,MBA,Digital Marketing,Hybrid
Senior Data Analyst - Finance & Platform Analytics,Accenture,Noida,Part-time,0-2 years,12/26/2024,1/22/2025,Indeed,199,M.Tech,SQL,Onsite
Senior Data Scientist,Microsoft,Bangalore,Contract,10+ years,1/4/2025,1/11/2025,Indeed,,PhD,C++,Onsite
Market Research Data Scientist,Amazon,Chennai,Contract,,1/7/2025,1/29/2025,LinkedIn,,M.Tech,AWS,Remote
IT Partner Digital Health Technology and Data Science,Wipro,Delhi,Internship,2-5 years,1/14/2025,2/11/2025,Indeed,232,B.Tech,SQL,Remote
Data Scientist,Microsoft,Bangalore,Part-time,0-2 years,1/8/2025,1/27/2025,LinkedIn,294,M.Tech,Python,Remote
Data Scientist,Deloitte,Hyderabad,Internship,5-10 years,1/16/2025,2/4/2025,Naukri.com,246,PhD,AWS,Onsite
"Senior Machine Learning Scientist - Bay Area, CA",HCL,Jaipur,Part-time,0-2 years,1/4/2025,1/29/2025,Indeed,406,B.Tech,Digital Marketing,Hybrid
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",HCL,Kolkata,Internship,10+ years,12/27/2024,1/13/2025,Indeed,269,PhD,C++,Hybrid
Senior Clinical Data Scientist Programmer,IBM,Kolkata,Contract,2-5 years,1/10/2025,2/7/2025,Naukri.com,472,PhD,Machine Learning,Onsite
Data Engineer,Google,Delhi,Part-time,2-5 years,1/9/2025,2/6/2025,Indeed,283,MBA,AWS,Hybrid
Computer Vision / Deep Learning Scientist,Wipro,Delhi,Full-time,2-5 years,1/18/2025,1/29/2025,Indeed,312,M.Tech,Excel,Remote
Data Solutions Engineer - Data Modeler,Amazon,Chennai,Internship,5-10 years,1/12/2025,1/25/2025,LinkedIn,432,B.Sc,Excel,Hybrid
Data Scientist,Microsoft,Hyderabad,Internship,10+ years,1/21/2025,2/8/2025,LinkedIn,451,M.Tech,C++,Onsite
Data Scientist (TS/SCI w/ Poly),Accenture,Bangalore,Full-time,5-10 years,1/18/2025,1/28/2025,Naukri.com,41,B.Tech,C++,Hybrid
Weapons and Sensors Engineer/Scientist,Infosys,Ahmedabad,Internship,5-10 years,12/24/2024,1/12/2025,Indeed,265,M.Tech,Excel,Remote
Applied Computer Scientist,Accenture,Jaipur,Internship,5-10 years,1/9/2025,1/26/2025,Naukri.com,45,PhD,Digital Marketing,Onsite
Senior Data Analyst,IBM,Mumbai,Full-time,10+ years,1/17/2025,2/5/2025,Indeed,144,PhD,AWS,Remote
Cloud Data Engineer (Azure),Wipro,Chennai,Contract,0-2 years,1/18/2025,2/3/2025,LinkedIn,361,B.Tech,Excel,Remote
"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",Wipro,Chennai,Contract,2-5 years,1/21/2025,2/13/2025,LinkedIn,156,B.Sc,Machine Learning,Onsite
